serie,date,p_Dm1_V1,p_Dm1_V2,p_D0_V1,p_D0_V2,p_D0ant_V2,juros_V1,juros_V2,dif_V1_V2,bate
CR-CONSORTIUMS-13-01-SINGLE,2026-05-15,106.29595096,106.29595096,82.15956074,82.15956074,106.36219724,24.2026365,24.202636499999997,3.552713678800501e-15,SIM
CR-CONSORTIUMS-29-01-SINGLE,2026-05-05,100.64151938,100.64151938,37.45227739,37.45227739,100.71227739,63.26,63.26,0.0,SIM
CR-CONSORTIUMS-29-01-SINGLE,2026-05-15,37.63698754,37.63698754,22.90142816,22.90142816,37.66344896,14.7620208,14.762020799999998,1.7763568394002505e-15,SIM
CR-CONSORTIUMS-29-01-SINGLE,2026-06-03,23.09539264,23.07916638,21.22763231,,,1.883998,,,N/A
CR-CONSORTIUMS-29-01-SINGLE,2026-06-09,21.25749181,23.07916638,11.35216579,,,9.92027152,,,N/A
CR-FGTS-01-01-SINGLE,2025-07-08,100.311998,100.31200106,98.5132952,98.51329819,100.37451799,1.8612198,1.8612198000000006,-6.661338147750939e-16,SIM
CR-FGTS-01-01-SINGLE,2025-08-05,99.6863842,99.68638713,97.04398054,97.04398347,99.74851416,2.70453069,2.7045306899999986,1.3322676295501878e-15,SIM
CR-FGTS-01-01-SINGLE,2025-09-08,98.44460366,98.44460651,95.99161421,95.99161706,98.50595963,2.51434257,2.514342570000011,-1.0658141036401503e-14,SIM
CR-FGTS-01-01-SINGLE,2025-10-06,97.1346752,97.13467801,93.88721095,93.88721376,97.19521475,3.30800099,3.3080009900000107,-1.0658141036401503e-14,SIM
CR-FGTS-01-01-SINGLE,2025-11-06,95.18295235,95.18295517,93.09814973,93.09815255,95.24227555,2.144123,2.1441230000000076,-7.549516567451064e-15,SIM
CR-FGTS-01-01-SINGLE,2025-11-14,93.38861695,93.38861978,93.32051115,93.26231188,93.44682189,0.1263079,0.18451000999999678,-0.05820210999999678,NAO
CR-FGTS-01-01-SINGLE,2025-12-08,94.13805305,94.07934391,90.488251923,90.42950619,94.13797649,3.708470297,3.708470300000002,-3.0000020245779524e-09,SIM
CR-FGTS-01-01-SINGLE,2026-01-09,91.6799469,91.62042752,87.423528674,87.36397219,91.67752764,4.313555446,4.3135554499999955,-3.9999958900693855e-09,SIM
CR-FGTS-01-01-SINGLE,2026-02-11,88.6300645,88.56968608,82.830379178,82.76996313,88.62488491,5.854921782,5.854921780000012,1.999987730982866e-09,SIM
CR-FGTS-01-01-SINGLE,2026-03-05,83.50397967,83.44307228,78.6032065685148,78.54226122,83.49507607,4.95281485148515,4.952814849999996,1.485154221825269e-09,SIM
CR-FGTS-01-01-SINGLE,2026-04-07,79.63838014,79.57663216,79.67064542,79.60885896,79.62622629,0.01736733,0.017367329999999015,9.853229343548264e-16,SIM
