categoria,serie,data,p_Dm1_V1,p_Dm1_V2,p_D0_V1,p_D0_V2,juros_V1,clean_drop_V2,juros_V2_dirty,cash_flow_atual,cf_correto,seguro_corrigir
GLITCH,CR-FGTS-01-01-SINGLE,2025-11-14,93.38861695,93.38861978,93.32051115,93.26231188,0.1263079,0.12630790000000047,0.18451000999999678,-87.34147505,0.1263079,SIM - corrigir so cash_flow := juros_V1 (clean ja esta certo)
GLITCH,CR-FGTS-02-01-SINGLE,2025-11-14,98.88779318,98.88779308,97.90050169,97.83387008,1.053923,1.0539229999999975,1.1205545100000052,-94.123675,1.053923,SIM - corrigir so cash_flow := juros_V1 (clean ja esta certo)
GLITCH,CR-FGTS-03-01-SINGLE,2025-11-14,98.652712,98.65272648,97.448875,97.38407248,1.268654,1.268653999999998,1.333470719999994,-94.241843,1.268654,SIM - corrigir so cash_flow := juros_V1 (clean ja esta certo)
GLITCH,CR-FGTS-06-01-SINGLE,2025-11-14,100.173714,100.17372504,99.1611508,99.09534584,1.0783792,1.0783792000000005,1.144195240000002,-97.1780958,1.0783792,SIM - corrigir so cash_flow := juros_V1 (clean ja esta certo)
DIVERGE,CR-FGTS-08-01-SENIOR,2026-04-17,93.7750386,107.49304197,-0.442495919999999,13.28403031,93.833296,94.275796,94.275796,-5.724204,93.833296,NAO - clean_price tb errado; corrigir cash_flow sozinho recria a inconsistencia
DIVERGE,CR-FGTS-08-02-MEZZANINE,2026-04-17,93.89463093,108.21156757,-0.442495269999995,13.88416629,93.958405,94.400905,94.40090500000001,-5.599095,93.958405,NAO - clean_price tb errado; corrigir cash_flow sozinho recria a inconsistencia
DIVERGE,CR-FGTS-23-01-SINGLE,2026-05-07,102.63268868,102.14292338,102.15259997,102.12730895,0.54213173,0.07579108999999562,0.07579108999999562,-99.92420891,0.54213173,NAO - clean_price tb errado; corrigir cash_flow sozinho recria a inconsistencia
DIVERGE,CR-FGTS-25-01-SINGLE,2026-05-06,102.39576481,102.39576481,97.193368255087,98.66159039,5.26621213491274,3.7979899999999986,3.7979899999999986,-96.20201,5.26621213491274,NAO - clean_price tb errado; corrigir cash_flow sozinho recria a inconsistencia
NAO_LANCADO (falta evento),CR-FGTS-08-01-SENIOR,2026-03-16,105.96473125,105.96473125,92.5,106.03148255,13.53147639,,0.0,,13.53147639,"NAO - precisa LANCAR o evento (so ha a diaria, sem cash_flow)"
NAO_LANCADO (falta evento),CR-FGTS-08-02-MEZZANINE,2026-03-16,106.53100134,106.53100134,92.5,106.60428495,14.1042787,,0.0,,14.1042787,"NAO - precisa LANCAR o evento (so ha a diaria, sem cash_flow)"
NAO_LANCADO (sem valuation),CR-CONSORTIUMS-29-01-SINGLE,2026-06-03,23.09539264,23.07916638,21.22763231,,1.883998,,,,1.883998,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-CONSORTIUMS-29-01-SINGLE,2026-06-09,21.25749181,23.07916638,11.35216579,,9.92027152,,,,9.92027152,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-01-01-SINGLE,2026-06-08,76.45899747,76.25299474,74.90616742,,1.60048119,,,,1.60048119,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-02-01-SINGLE,2026-06-08,83.53109994,83.28959875,80.09039067,,3.4969933,,,,3.4969933,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-03-01-SINGLE,2026-06-08,83.37314744,83.13831473,79.94589718,,3.482028,,,,3.482028,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-04-01-SINGLE,2026-06-08,85.30125238,85.13335689,81.63338492,,3.723912,,,,3.723912,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-05-01-SINGLE,2026-06-08,87.21776399,87.04609581,84.07096872,,3.204099,,,,3.204099,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-06-01-SINGLE,2026-06-08,85.69372942,85.45323367,82.88580983,,2.864222,,,,2.864222,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-07-01-SINGLE,2026-06-09,83.74718201,83.54327487,80.44773359,,3.35050292,,,,3.35050292,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-10-01-SINGLE,2026-06-08,87.86234707,87.69250563,84.38136293,,3.537675,,,,3.537675,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-12-01-SINGLE,2026-06-08,87.05805752,86.88844103,84.82674323,,2.28792667,,,,2.28792667,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-15-01-SINGLE,2026-06-09,94.47089551,94.22556319,90.35021722,,4.18211111,,,,4.18211111,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-23-01-SINGLE,2026-06-08,103.39477452,103.15499074,98.56772252,,4.827052,,,,4.827052,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
NAO_LANCADO (sem valuation),CR-FGTS-25-01-SINGLE,2026-06-08,98.47336701,99.77426338,95.68832601,,2.785041,,,,2.785041,NAO - precisa LANCAR o evento (V2 nem tem valuation em D0)
